Category,Subcategory,Name,Brand,SKU,Price,RegularPrice,DiscountRate,UnitPrice,Status,Date
Meyve & Sebze,Sebze,Eurofresh Doğranmış Göbek Salata (Parça) 200G,Eurofresh,28379698,64.95,64.95,0,"(324,75 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Local Greens Aromatik Yaz Salatası Paket 150 G,Local Greens,28990004,149.95,149.95,0,"(999,66 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Tazedirekt Mor Soğan Kg,Tazedirekt,28990390,69.95,69.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Lahana Brüksel 500 G Paket Adet,Reyondan,28220001,119.95,119.95,0,"(239,90 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Acı Biber Şili Kırmızı  Kg,Reyondan,28059250,164.95,164.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Eurofresh Fresh Mix 200 G,Eurofresh,28990030,74.95,74.95,0,"(374,75 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Biber Sivri  Kg,Reyondan,28059211,129.95,129.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Excelente Tatlı Patates Kg,Excelente,28309046,139.95,139.95,0,,IN_SALE,2026-02-25
Et & Tavuk & Balık,Dana Eti,Minikler İçin Dana Kıyma Biga Yöresi Kg,Reyondan,25010616,1070.96,1259.95,15,,IN_SALE,2026-02-25
Et & Tavuk & Balık,Dana Eti,Dana Yağsız Rosto Kıyma Biga Yöresi Kg,Reyondan,25010620,1002.96,1179.95,15,,IN_SALE,2026-02-25
Et & Tavuk & Balık,Kuzu Eti,Minikler İçin Kuzu Kıyma Trakya Kıvırcık Kg,Reyondan,24010352,1518.06,1785.95,15,,IN_SALE,2026-02-25
Et & Tavuk & Balık,Kuzu Eti,Kuzu Pirzola Trakya Kıvırcık Kuzu,Reyondan,24010238,1784.96,2099.95,15,,IN_SALE,2026-02-25
Et & Tavuk & Balık,Kuzu Eti,Kuzu Kuşbaşı Trakya Kıvırcık Kg,Reyondan,24010328,1300.46,1529.95,15,,IN_SALE,2026-02-25
Et & Tavuk & Balık,Dana Eti,Dana Bonfile Büyük Kg,Reyondan,25010559,2379.96,2799.95,15,,IN_SALE,2026-02-25
Et & Tavuk & Balık,Dana Eti,Dana Stragonofluk Et Biga Yöresi Kg,Reyondan,25010636,1096.46,1289.95,15,,IN_SALE,2026-02-25
Et & Tavuk & Balık,Dana Eti,Dana But Tas Kebaplık Et Biga Yöresi Kg,Reyondan,25010635,1053.96,1239.95,15,,IN_SALE,2026-02-25
Et & Tavuk & Balık,Dana Eti,Dana But Sotelik Et Biga Yöresi Kg,Reyondan,25010637,1096.46,1289.95,15,,IN_SALE,2026-02-25
Et & Tavuk & Balık,Dana Eti,Dana Çıralı Antrikot Kg,Reyondan,25500508,2209.96,2599.95,15,,IN_SALE,2026-02-25
