product_name,price (TL)
Gurvita Baby Kuzu İlikli  Kemik Sulu Tatlı Patates 4x50 g,199.95
Gurvita Baby Kuzu İlikli Kemik Sulu Prebiyotik Sebzeler 4x50 g,199.95
Gurvita Baby Kuzu İlikli Kemik Sulu Havuç 4x50 gr,199.95
Beyın Salatası 150 g,199.9
Ege Ciğercisi Dana Dil 750 g,489.9
Dana Dil Söğüş 150 g,299.95
Gurvita Baby Kuzu İlikli Kemik Sulu Prebiyotik Sebzeler 4x50 g,199.95
Gurvita Baby Kuzu İlikli Kemik Sulu Havuç 4x50 gr,199.95
Beyın Salatası 150 g,199.9
Ege Ciğercisi Dana Dil 750 g,489.9
Dana Dil Söğüş 150 g,299.95
Ege Ciğercisi Dana Yürek 500 g,129.95
Ege Ciğercisi Kuzu Paça 4 Adet,149.95
Ege Ciğercisi Dana Dalak 750 g,139.95
Ege Ciğercisi Dana Pöç 500 g,259.9
Pişmiş Kuzu Kokoreç 200 g,319.95
Ege Ciğercisi Dana Böbrek 500 g,99.95
Ege Ciğercisi Kuzu İşkembe 500 g,99.9
Kuzu Kelle Söğüş 150 g,275.9
Erşan Vakumlu Kangal Sucuk 200 Gr,284.9
Carrefour Hindi Füme 50 G,25.0
Banvit Piliç Kokteyl Sosis 500 g,128.9
Namet 7/24 Hindi Füme 60 G,31.9
Carrefour Isıl İşlem Görmüş Sucuk 200 Gr,135.0
Banvit Piliç Baton Salam 850 g,93.5
Namet 7/24 Dana Macar Salam 60 G,47.75
Namet 7/24 Hindi Salam 60 G,25.9
Carrefour Hindi Salam 50 G,20.0
Polonez Hindi Füme Eti 50 Gr,44.9
Carrefour Dana Kavurma 150 G,220.0
Carrefour Çemeni Sıyrılmış Dana Pastırma 120 G,259.0
Başyazıcı İnan Seçme Pastırma 80 g,199.9
Apikoğlu Parmak Fermente Sucuk 200 Gr,399.9
Namet Hindi Füme Paket 200 Gr,129.9
Carrefour Dana Macar Salam 50 G,39.5
Namet Dana Jambon 60 g,73.9
Başyazıcı Dana Kangal Sucuk 200 Gr,280.0
Polonez Hindi Füme Dilimli 150 G,109.9
Maret Hindi Füme 110 G,79.9
Polonez Kangal Sucuk 180 G,313.5
Polonez Dana Macar Salam 50 Gr,79.9
Polonez Hindi Jambon 50 Gr,39.9
Polonez Dana Jambon 50 Gr,89.9
Banvit Jumbo Sosis 4'lü 330 G,95.9
Polonez Isıl İşlem Görmüş Kangal Sucuk Kg,899.9
Pınar Uzun Hindi Sosis 430 G,169.9
Polonez Kangal Sucuk 240 G,359.9
Başyazıcı İnan Kavurma 100 g,189.9
Polonez Çemeni Sıyrılmış Pastırma 75 Gr,299.9
Pınar Aç Bitir Büyük Dilim Hindi Salam 60 G,42.5
Pınar Aç Bitir Macar Salam 60 G,81.9
Polonez Hindi Füme 2x110 G,159.9
Pınar Aç Bitir Salam 75 Gr,46.9
Polonez Piliç Füme 50 Gr,35.9
