id,sku,name,brand,category,regular_price,shown_price,discount_rate,unit,status,image_url,product_url
20000010403369,10403369,Kerrygold Cheddar 200 G,Kerrygold,Yabancı Yöresel Peynir,379.5,379.5,0,PIECE,IN_SALE,,https://www.migros.com.tr/kerrygold-cheddar-200-g-p-9ebe29
20000010019127,10019127,Taciroğlu Koyun-Keçi-İnek Peyniri 3 Dilimli 450 G,Taciroğlu,Koyun Peyniri,499.9,499.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/taciroglu-koyun-keci-inek-peyniri-3-dilimli-450-g-p-98e137
20000010406780,10406780,Vegan Pizza Peyniri 200 G,G.C. Gıda,Yabancı Yöresel Peynir,149.9,149.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/vegan-pizza-peyniri-200-g-p-9ecb7c
20000010109823,10109823,Tahsildaroğlu 2 Dilim Eski Kaşar Peyniri 200 G,Tahsildaroğlu,Eski Kaşar,299.9,299.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/tahsildaroglu-2-dilim-eski-kasar-peyniri-200-g-p-9a437f
20000010403992,10403992,Casari Camembert Peyniri Teneke Kutu 125 G,Casari,Yabancı Yöresel Peynir,349.95,349.95,0,PIECE,IN_SALE,,https://www.migros.com.tr/casari-camembert-peyniri-teneke-kutu-125-g-p-9ec098
20000010409158,10409158,Trakya Çiftliği Camembertli Krem Peynir 200 G,Trakya Çiftliği,Yabancı Yöresel Peynir,199.95,199.95,0,PIECE,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-camembertli-krem-peynir-200-g-p-9ed4c6
20000010409094,10409094,Blue Heaven Danish Blue Cheese 100G,Blue Heaven,Yabancı Yöresel Peynir,274.9,274.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/blue-heaven-danish-blue-cheese-100g-p-9ed486
20000010406706,10406706,Trakya Çiftliği Gouda Jalapeno Yarım Yağlı Taze Peynir 200 G,G.C. Gıda,Yabancı Yöresel Peynir,287.9,287.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-gouda-jalapeno-yarim-yagli-taze-peynir-200-g-p-9ecb32
20000010302070,10302070,La Vache Qui Rit Sade Krem Peynir 140G,La Vache Qui Rit,Krem Peynir,79.0,79.0,0,PIECE,IN_SALE,,https://www.migros.com.tr/la-vache-qui-rit-sade-krem-peynir-140g-p-9d3276
20000010300013,10300013,Torku  Labne 180 G,Torku,Krem Peynir,83.9,83.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/torku-labne-180-g-p-9d2a6d
20000010400048,10400048,Enka Kahvaltı Seti,Enka,Yerli Yöresel Peynir,58.95,58.95,0,PIECE,IN_SALE,,https://www.migros.com.tr/enka-kahvalti-seti-p-9eb130
20000010409198,10409198,Frico Tam Yağlı Taze Sade Gouda Peyniri 150 G,Frico,Yabancı Yöresel Peynir,389.9,389.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/frico-tam-yagli-taze-sade-gouda-peyniri-150-g-p-9ed4ee
20000010406101,10406101,Cebir Zeytinyağlı Vak. Sürk 300 G,Cebir,Yerli Yöresel Peynir,133.9,133.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/cebir-zeytinyagli-vak-surk-300-g-p-9ec8d5
20000010409199,10409199,Frico Yarım Yağlı Taze Sade Edam Peyniri 150 G,Frico,Yabancı Yöresel Peynir,389.9,389.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/frico-yarim-yagli-taze-sade-edam-peyniri-150-g-p-9ed4ef
20000010403995,10403995,Kiri Labne Tam Yağlı Taze Peynir 3 x 150 G,Kiri,Krem Peynir,199.0,199.0,0,PIECE,IN_SALE,,https://www.migros.com.tr/kiri-labne-tam-yagli-taze-peynir-3-x-150-g-p-9ec09b
20000010108788,10108788,Muratbey Çerkez Peyniri 400 G,Muratbey,Yerli Yöresel Peynir,374.9,374.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/muratbey-cerkez-peyniri-400-g-p-9a3f74
20000010401510,10401510,Trakya Çiftliği Mavi Damarlı Yarım Yağlı Rokfor Peyniri 100 G,Pinafore,Yabancı Yöresel Peynir,195.9,195.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-mavi-damarli-yarim-yagli-rokfor-peyniri-100-g-p-9eb6e6
20000010400035,10400035,Trakya Çiftliği Edam Yarım Yağlı Taze Peyniri 230 G,Golden Dutch,Yabancı Yöresel Peynir,217.5,217.5,0,PIECE,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-edam-yarim-yagli-taze-peyniri-230-g-p-9eb123
20000010406015,10406015,CİBUS Grana Padano Peyniri 200 G,Cibus,Yabancı Yöresel Peynir,501.9,501.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/cibus-grana-padano-peyniri-200-g-p-9ec87f
20000010301593,10301593,Milgo Taze Sade Sürülebilir Peynir 180 G,Milgo,Krem Peynir,98.9,79.9,19,PIECE,IN_SALE,,https://www.migros.com.tr/milgo-taze-sade-surulebilir-peynir-180-g-p-9d3099
20000010301585,10301585,Kiri Kekikli Tam Yağlı Taze Peynır 150 G,Kiri,Krem Peynir,99.0,99.0,0,PIECE,IN_SALE,,https://www.migros.com.tr/kiri-kekikli-tam-yagli-taze-peynir-150-g-p-9d3091
20000010409201,10409201,Frico Tam Yağlı Taze Maasdam Peyniri 150 G,Frico,Yabancı Yöresel Peynir,389.9,389.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/frico-tam-yagli-taze-maasdam-peyniri-150-g-p-9ed4f1
20000010019246,10019246,Tahsildaroğlu Gurme Ezine Beyaz Peynir Gold 450 G,Tahsildaroğlu,Koyun Peyniri,529.9,475.0,10,PIECE,IN_SALE,,https://www.migros.com.tr/tahsildaroglu-gurme-ezine-beyaz-peynir-gold-450-g-p-98e1ae
20000010403443,10403443,Cibus Tam Yağlı Taze Brie Peyniri 200 G,Cibus,Yabancı Yöresel Peynir,868.9,868.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/cibus-tam-yagli-taze-brie-peyniri-200-g-p-9ebe73
20000010403993,10403993,Casari Brie Peyniri Teneke Kutu 125 G,Casari,Yabancı Yöresel Peynir,349.95,349.95,0,PIECE,IN_SALE,,https://www.migros.com.tr/casari-brie-peyniri-teneke-kutu-125-g-p-9ec099
20000010403360,10403360,CİBUS Reggiano Parmesan Peyniri 200 G,Cibus,Yabancı Yöresel Peynir,556.9,556.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/cibus-reggiano-parmesan-peyniri-200-g-p-9ebe20
20000010401546,10401546,Trakya Çiftliği Mavi Damarlı Yarım Yağlı Rokfor Peyniri 225 G,Pinafore,Yabancı Yöresel Peynir,324.9,324.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-mavi-damarli-yarim-yagli-rokfor-peyniri-225-g-p-9eb70a
20000010400033,10400033,Trakya Çiftliği Maasdam Yarım Yağlı Taze Peyniri 350 G,Golden Dutch,Yabancı Yöresel Peynir,286.25,286.25,0,PIECE,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-maasdam-yarim-yagli-taze-peyniri-350-g-p-9eb121
20000010409151,10409151,Trakya Çiftliği Vegan Krem Sade 200 G,Trakya Çiftliği,Yerli Yöresel Peynir,126.9,126.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-vegan-krem-sade-200-g-p-9ed4bf
20000010409224,10409224,Ariste Hanımeli Sade Sepet Peyniri 250 G,Ariste,Yerli Yöresel Peynir,249.9,249.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/ariste-hanimeli-sade-sepet-peyniri-250-g-p-9ed508
20000010403365,10403365,Blue Heaven Danish Blue Cheese 225 G,Blue Heaven,Yabancı Yöresel Peynir,530.0,530.0,0,PIECE,IN_SALE,,https://www.migros.com.tr/blue-heaven-danish-blue-cheese-225-g-p-9ebe25
20000010406704,10406704,Trakya Çiftliği Gouda Truff Yarım Yağlı Taze Peynir 220 G,G.C. Gıda,Yabancı Yöresel Peynir,287.9,287.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/trakya-ciftligi-gouda-truff-yarim-yagli-taze-peynir-220-g-p-9ecb30
20000010108888,10108888,Onur Dilimli Tost Peyniri Kg,Onur,Taze Kaşar,479.0,479.0,0,GRAM,IN_SALE,,https://www.migros.com.tr/onur-dilimli-tost-peyniri-kg-p-9a3fd8
20000010302103,10302103,La Vache Qui Rit Üçgen Peynir 8'li 100 G,La Vache Qui Rit,Üçgen & Burger Peynir,69.0,69.0,0,PIECE,IN_SALE,,https://www.migros.com.tr/la-vache-qui-rit-ucgen-peynir-8li-100-g-p-9d3297
20000010300016,10300016,La Vache Qui Rit Burger Dilimli Peynir 288 G,La Vache Qui Rit,Üçgen & Burger Peynir,249.0,249.0,0,PIECE,IN_SALE,,https://www.migros.com.tr/la-vache-qui-rit-burger-dilimli-peynir-288-g-p-9d2a70
20000010400038,10400038,Ünal Çiftliği Taze İsli Çerkez Peyniri Kg,Ünal Çiftliği,Yerli Yöresel Peynir,739.0,739.0,0,GRAM,IN_SALE,,https://www.migros.com.tr/unal-ciftligi-taze-isli-cerkez-peyniri-kg-p-9eb126
20000010103651,10103651,Tahsildaroğlu Eski Kaşar Peyniri 350 (İnek Sütü),Tahsildaroğlu,Eski Kaşar,379.9,379.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/tahsildaroglu-eski-kasar-peyniri-350-inek-sutu-p-9a2b63
20000010302116,10302116,İçim Rahat Laktozsuz Labne 180G,İçim,Krem Peynir,72.9,72.9,0,PIECE,IN_SALE,,https://www.migros.com.tr/icim-rahat-laktozsuz-labne-180g-p-9d32a4
20000010019118,10019118,Doğruluk Ezine Olgunlaştırılmş Tam Yağlı Beyaz Peynir 525G,Doğruluk,Koyun Peyniri,575.0,575.0,0,PIECE,IN_SALE,,https://www.migros.com.tr/dogruluk-ezine-olgunlastirilms-tam-yagli-beyaz-peynir-525g-p-98e12e
